DATE,RATE
12/31/2016,67.9669
12/30/2016,68.9669
12/29/2016,69.9669
12/28/2016,70.9669
12/27/2016,71.9669
12/26/2016,72.9669
12/25/2016,73.9669
12/24/2016,74.9669
12/23/2016,75.9669
12/22/2016,76.9669
12/21/2016,77.9669
12/20/2016,78.9669
12/19/2016,79.9669
12/18/2016,80.9669
12/17/2016,81.9669
12/16/2016,82.9669
12/15/2016,83.9669
12/14/2016,84.9669
12/13/2016,85.9669
12/12/2016,86.9669
12/11/2016,87.9669
12/10/2016,88.9669
12/9/2016,89.9669
12/8/2016,90.9669
12/7/2016,91.9669
12/6/2016,92.9669
12/5/2016,93.9669
12/4/2016,94.9669
12/3/2016,95.9669
12/2/2016,96.9669
12/1/2016,97.9669
11/30/2016,98.9669
11/29/2016,99.9669
11/28/2016,100.9669
11/27/2016,101.9669
11/26/2016,102.9669
11/25/2016,103.9669
11/24/2016,104.9669
11/23/2016,105.9669
11/22/2016,106.9669
11/21/2016,107.9669
11/20/2016,108.9669
11/19/2016,109.9669
11/18/2016,110.9669
11/17/2016,111.9669
11/16/2016,112.9669
11/15/2016,113.9669
11/14/2016,114.9669
11/13/2016,115.9669
11/12/2016,116.9669
11/11/2016,117.9669
11/10/2016,118.9669
11/9/2016,119.9669
11/8/2016,120.9669
11/7/2016,121.9669
11/6/2016,122.9669
11/5/2016,123.9669
11/4/2016,124.9669
11/3/2016,125.9669
11/2/2016,126.9669
11/1/2016,127.9669
10/31/2016,128.9669
10/30/2016,129.9669
10/29/2016,130.9669
10/28/2016,131.9669
10/27/2016,132.9669
10/26/2016,133.9669
10/25/2016,134.9669
10/24/2016,135.9669
10/23/2016,136.9669
10/22/2016,137.9669
10/21/2016,138.9669
10/20/2016,139.9669
10/19/2016,140.9669
10/18/2016,141.9669
10/17/2016,142.9669
10/16/2016,143.9669
10/15/2016,144.9669
10/14/2016,145.9669
10/13/2016,146.9669
10/12/2016,147.9669
10/11/2016,148.9669
10/10/2016,149.9669
10/9/2016,150.9669
10/8/2016,151.9669
10/7/2016,152.9669
10/6/2016,153.9669
10/5/2016,154.9669
10/4/2016,155.9669
10/3/2016,156.9669
10/2/2016,157.9669
10/1/2016,158.9669
9/30/2016,159.9669
9/29/2016,160.9669
9/28/2016,161.9669
9/27/2016,162.9669
9/26/2016,163.9669
9/25/2016,164.9669
9/24/2016,165.9669
9/23/2016,166.9669
9/22/2016,167.9669
9/21/2016,168.9669
9/20/2016,169.9669
9/19/2016,170.9669
9/18/2016,171.9669
9/17/2016,172.9669
9/16/2016,173.9669
9/15/2016,174.9669
9/14/2016,175.9669
9/13/2016,176.9669
9/12/2016,177.9669
9/11/2016,178.9669
9/10/2016,179.9669
9/9/2016,180.9669
9/8/2016,181.9669
9/7/2016,182.9669
9/6/2016,183.9669
9/5/2016,184.9669
9/4/2016,185.9669
9/3/2016,186.9669
9/2/2016,187.9669
9/1/2016,188.9669
8/31/2016,189.9669
8/30/2016,190.9669
8/29/2016,191.9669
8/28/2016,192.9669
8/27/2016,193.9669
8/26/2016,194.9669
8/25/2016,195.9669
8/24/2016,196.9669
8/23/2016,197.9669
8/22/2016,198.9669
8/21/2016,199.9669
8/20/2016,200.9669
8/19/2016,201.9669
8/18/2016,202.9669
8/17/2016,203.9669
8/16/2016,204.9669
8/15/2016,205.9669
8/14/2016,206.9669
8/13/2016,207.9669
8/12/2016,208.9669
8/11/2016,209.9669
8/10/2016,210.9669
8/9/2016,211.9669
8/8/2016,212.9669
8/7/2016,213.9669
8/6/2016,214.9669
8/5/2016,215.9669
8/4/2016,216.9669
8/3/2016,217.9669
8/2/2016,218.9669
8/1/2016,219.9669
7/31/2016,220.9669
7/30/2016,221.9669
7/29/2016,222.9669
7/28/2016,223.9669
7/27/2016,224.9669
7/26/2016,225.9669
7/25/2016,226.9669
7/24/2016,227.9669
7/23/2016,228.9669
7/22/2016,229.9669
7/21/2016,230.9669
7/20/2016,231.9669
7/19/2016,232.9669
7/18/2016,233.9669
7/17/2016,234.9669
7/16/2016,235.9669
7/15/2016,236.9669
7/14/2016,237.9669
7/13/2016,238.9669
7/12/2016,239.9669
7/11/2016,240.9669
7/10/2016,241.9669
7/9/2016,242.9669
7/8/2016,243.9669
7/7/2016,244.9669
7/6/2016,245.9669
7/5/2016,246.9669
7/4/2016,247.9669
7/3/2016,248.9669
7/2/2016,249.9669
7/1/2016,250.9669
6/30/2016,251.9669
6/29/2016,252.9669
6/28/2016,253.9669
6/27/2016,254.9669
6/26/2016,255.9669
6/25/2016,256.9669
6/24/2016,257.9669
6/23/2016,258.9669
6/22/2016,259.9669
6/21/2016,260.9669
6/20/2016,261.9669
6/19/2016,262.9669
6/18/2016,263.9669
6/17/2016,264.9669
6/16/2016,265.9669
6/15/2016,266.9669
6/14/2016,267.9669
6/13/2016,268.9669
6/12/2016,269.9669
6/11/2016,270.9669
6/10/2016,271.9669
6/9/2016,272.9669
6/8/2016,273.9669
6/7/2016,274.9669
6/6/2016,275.9669
6/5/2016,276.9669
6/4/2016,277.9669
6/3/2016,278.9669
6/2/2016,279.9669
6/1/2016,280.9669
5/31/2016,281.9669
5/30/2016,282.9669
5/29/2016,283.9669
5/28/2016,284.9669
5/27/2016,285.9669
5/26/2016,286.9669
5/25/2016,287.9669
5/24/2016,288.9669
5/23/2016,289.9669
5/22/2016,290.9669
5/21/2016,291.9669
5/20/2016,292.9669
5/19/2016,293.9669
5/18/2016,294.9669
5/17/2016,295.9669
5/16/2016,296.9669
5/15/2016,297.9669
5/14/2016,298.9669
5/13/2016,299.9669
5/12/2016,300.9669
5/11/2016,301.9669
5/10/2016,302.9669
5/9/2016,303.9669
5/8/2016,304.9669
5/7/2016,305.9669
5/6/2016,306.9669
5/5/2016,307.9669
5/4/2016,308.9669
5/3/2016,309.9669
5/2/2016,310.9669
5/1/2016,311.9669
4/30/2016,312.9669
4/29/2016,313.9669
4/28/2016,314.9669
4/27/2016,315.9669
4/26/2016,316.9669
4/25/2016,317.9669
4/24/2016,318.9669
4/23/2016,319.9669
4/22/2016,320.9669
4/21/2016,321.9669
4/20/2016,322.9669
4/19/2016,323.9669
4/18/2016,324.9669
4/17/2016,325.9669
4/16/2016,326.9669
4/15/2016,327.9669
4/14/2016,328.9669
4/13/2016,329.9669
4/12/2016,330.9669
4/11/2016,331.9669
4/10/2016,332.9669
4/9/2016,333.9669
4/8/2016,334.9669
4/7/2016,335.9669
4/6/2016,336.9669
4/5/2016,337.9669
4/4/2016,338.9669
4/3/2016,339.9669
4/2/2016,340.9669
4/1/2016,341.9669
3/31/2016,342.9669
3/30/2016,343.9669
3/29/2016,344.9669
3/28/2016,345.9669
3/27/2016,346.9669
3/26/2016,347.9669
3/25/2016,348.9669
3/24/2016,349.9669
3/23/2016,350.9669
3/22/2016,351.9669
3/21/2016,352.9669
3/20/2016,353.9669
3/19/2016,354.9669
3/18/2016,355.9669
3/17/2016,356.9669
3/16/2016,357.9669
3/15/2016,358.9669
3/14/2016,359.9669
